sinewave1,sinewave2
0.841470985 , 0.592072543
0.873736397 , 0.5403023060000001
0.90255357 , 0.486399742
0.9278087770000001 , 0.43057758100000004
0.949402346 , 0.373056127
0.9672490579999999 , 0.314062391
0.98127848 , 0.253829194
0.991435244 , 0.192594249
0.9976792659999999 , 0.13059922300000001
0.9999859040000001 , 0.068088781
0.9983460540000001 , 0.005309624000000001
0.992766189 , -0.057490488
0.983268329 , -0.12006371099999999
0.969889958 , -0.182163097
0.9526838740000001 , -0.243543569
0.931717983 , -0.303962886
0.9070750259999999 , -0.36318259999999997
0.878852258 , -0.420968998
0.8471610629999999 , -0.477094024
0.812126509 , -0.531336178
0.773886863 , -0.583481391
0.73259304 , -0.633323869
0.688408006 , -0.680666907
0.64150614 , -0.725323664
0.592072543 , -0.7671179
0.5403023060000001 , -0.805884672
0.486399742 , -0.841470985
0.43057758100000004 , -0.873736397
0.373056127 , -0.90255357
0.314062391 , -0.9278087770000001
0.253829194 , -0.949402346
0.192594249 , -0.9672490579999999
0.13059922300000001 , -0.98127848
0.068088781 , -0.991435244
0.005309624000000001 , -0.9976792659999999
-0.057490488 , -0.9999859040000001
-0.12006371099999999 , -0.9983460540000001
-0.182163097 , -0.992766189
-0.243543569 , -0.983268329
-0.303962886 , -0.969889958
-0.36318259999999997 , -0.9526838740000001
-0.420968998 , -0.931717983
-0.477094024 , -0.9070750259999999
-0.531336178 , -0.878852258
-0.583481391 , -0.8471610629999999
-0.633323869 , -0.812126509
-0.680666907 , -0.773886863
-0.725323664 , -0.73259304
-0.7671179 , -0.688408006
-0.805884672 , -0.64150614
-0.841470985 , -0.592072543
-0.873736397 , -0.5403023060000001
-0.90255357 , -0.486399742
-0.9278087770000001 , -0.43057758100000004
-0.949402346 , -0.373056127
-0.9672490579999999 , -0.314062391
-0.98127848 , -0.253829194
-0.991435244 , -0.192594249
-0.9976792659999999 , -0.13059922300000001
-0.9999859040000001 , -0.068088781
-0.9983460540000001 , -0.005309624000000001
-0.992766189 , 0.057490488
-0.983268329 , 0.12006371099999999
-0.969889958 , 0.182163097
-0.9526838740000001 , 0.243543569
-0.931717983 , 0.303962886
-0.9070750259999999 , 0.36318259999999997
-0.878852258 , 0.420968998
-0.8471610629999999 , 0.477094024
-0.812126509 , 0.531336178
-0.773886863 , 0.583481391
-0.73259304 , 0.633323869
-0.688408006 , 0.680666907
-0.64150614 , 0.725323664
-0.592072543 , 0.7671179
-0.5403023060000001 , 0.805884672
-0.486399742 , 0.841470985
-0.43057758100000004 , 0.873736397
-0.373056127 , 0.90255357
-0.314062391 , 0.9278087770000001
-0.253829194 , 0.949402346
-0.192594249 , 0.9672490579999999
-0.13059922300000001 , 0.98127848
-0.068088781 , 0.991435244
-0.005309624000000001 , 0.9976792659999999
0.057490488 , 0.9999859040000001
0.12006371099999999 , 0.9983460540000001
0.182163097 , 0.992766189
0.243543569 , 0.983268329
0.303962886 , 0.969889958
0.36318259999999997 , 0.9526838740000001
0.420968998 , 0.931717983
0.477094024 , 0.9070750259999999
0.531336178 , 0.878852258
0.583481391 , 0.8471610629999999
0.633323869 , 0.812126509
0.680666907 , 0.773886863
0.725323664 , 0.73259304
0.7671179 , 0.688408006
0.805884672 , 0.64150614
0.841470985 , 0.592072543
0.873736397 , 0.5403023060000001
0.90255357 , 0.486399742
0.9278087770000001 , 0.43057758100000004
0.949402346 , 0.373056127
0.9672490579999999 , 0.314062391
0.98127848 , 0.253829194
0.991435244 , 0.192594249
0.9976792659999999 , 0.13059922300000001
0.9999859040000001 , 0.068088781
0.9983460540000001 , 0.005309624000000001
0.992766189 , -0.057490488
0.983268329 , -0.12006371099999999
0.969889958 , -0.182163097
0.9526838740000001 , -0.243543569
0.931717983 , -0.303962886
0.9070750259999999 , -0.36318259999999997
0.878852258 , -0.420968998
0.8471610629999999 , -0.477094024
0.812126509 , -0.531336178
0.773886863 , -0.583481391
0.73259304 , -0.633323869
0.688408006 , -0.680666907
0.64150614 , -0.725323664
0.592072543 , -0.7671179
0.5403023060000001 , -0.805884672
0.486399742 , -0.841470985
0.43057758100000004 , -0.873736397
0.373056127 , -0.90255357
0.314062391 , -0.9278087770000001
0.253829194 , -0.949402346
0.192594249 , -0.9672490579999999
0.13059922300000001 , -0.98127848
0.068088781 , -0.991435244
0.005309624000000001 , -0.9976792659999999
-0.057490488 , -0.9999859040000001
-0.12006371099999999 , -0.9983460540000001
-0.182163097 , -0.992766189
-0.243543569 , -0.983268329
-0.303962886 , -0.969889958
-0.36318259999999997 , -0.9526838740000001
-0.420968998 , -0.931717983
-0.477094024 , -0.9070750259999999
-0.531336178 , -0.878852258
-0.583481391 , -0.8471610629999999
-0.633323869 , -0.812126509
-0.680666907 , -0.773886863
-0.725323664 , -0.73259304
-0.7671179 , -0.688408006
-0.805884672 , -0.64150614
-0.841470985 , -0.592072543
-0.873736397 , -0.5403023060000001
-0.90255357 , -0.486399742
-0.9278087770000001 , -0.43057758100000004
-0.949402346 , -0.373056127
-0.9672490579999999 , -0.314062391
-0.98127848 , -0.253829194
-0.991435244 , -0.192594249
-0.9976792659999999 , -0.13059922300000001
-0.9999859040000001 , -0.068088781
-0.9983460540000001 , -0.005309624000000001
-0.992766189 , 0.057490488
-0.983268329 , 0.12006371099999999
-0.969889958 , 0.182163097
-0.9526838740000001 , 0.243543569
-0.931717983 , 0.303962886
-0.9070750259999999 , 0.36318259999999997
-0.878852258 , 0.420968998
-0.8471610629999999 , 0.477094024
-0.812126509 , 0.531336178
-0.773886863 , 0.583481391
-0.73259304 , 0.633323869
-0.688408006 , 0.680666907
-0.64150614 , 0.725323664
-0.592072543 , 0.7671179
-0.5403023060000001 , 0.805884672
-0.486399742 , 0.841470985
-0.43057758100000004 , 0.873736397
-0.373056127 , 0.90255357
-0.314062391 , 0.9278087770000001
-0.253829194 , 0.949402346
-0.192594249 , 0.9672490579999999
-0.13059922300000001 , 0.98127848
-0.068088781 , 0.991435244
-0.005309624000000001 , 0.9976792659999999
0.057490488 , 0.9999859040000001
0.12006371099999999 , 0.9983460540000001
0.182163097 , 0.992766189
0.243543569 , 0.983268329
0.303962886 , 0.969889958
0.36318259999999997 , 0.9526838740000001
0.420968998 , 0.931717983
0.477094024 , 0.9070750259999999
0.531336178 , 0.878852258
0.583481391 , 0.8471610629999999
